,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
389,Script&Go,0,0.0,0,0,2.0,1,-0.1747411883296002,0.020370946164524575,-0.13273870202380228,-0.15338898302100729
390,Script&Go,0,0.0,0,0,2.0,1,-0.1747411883296002,0.020370946164524575,-0.13273870202380228,-0.15338898302100729
391,SeaBubbles,0,1368181.8181818181,0,0,2.0,1,1.5378525357507724,-0.3183813888886601,-0.4031093051560558,-0.4309864509529683
392,Secure-IC,0,0.0,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
393,Seekyo Therapeutics,0,266666.6666666667,0,0,1.0,1,-0.011432721934420046,-0.5246233506570465,1.1106703367389705,0.2058122986550553
394,Semeia,0,0.0,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
395,Sensewaves,0,36363.6,0,0,1.0,1,1.932550206347848,1.7524515348489806,0.032965773184371265,-0.1728819417877393
396,Sensome,0,770075.75,0,0,2.0,1,0.1384212915184005,-0.08977479404152164,-0.18563686195342138,1.2232266335026907
397,Sentryo,0,736842.1052631579,0,0,2.0,1,-0.00456388377522062,0.13260620737564838,-0.14007460418225579,0.2890461979960569
398,SEPARATIVE,0,5000.0,0,0,1.0,1,-0.049817462438431215,-0.4728672552484987,0.8407835762061386,0.16080413874489685
399,SeqOne,1,136363.63636363635,0,0,2.0,1,-0.009475544672914971,-0.4825808516353425,0.8447322895409655,0.15622510056959993
401,Sereema,0,0.0,0,0,1.0,1,-0.03737365644950976,0.07918068261321269,-0.16423639563346612,0.09891557640871007
402,SESAMm,0,150870.40425531915,0,0,2.0,1,0.011348827398478131,0.2790023413679588,-0.25530563500361464,1.0049190840267597
404,Silltec,0,0.0,0,0,1.0,1,-0.1705103348628857,-0.11947555327496323,-0.12881957557555762,-0.13717855239922194
405,Sim&Cure,0,150000.0,0,0,2.0,1,-0.16930786183584515,-0.1561869832091218,-0.0009157038664793779,-0.04205164866331388
406,SiS-id,0,5000.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
407,Skilder,0,212500.0,0,0,1.0,1,-0.15065951464524138,-0.10303040253515659,-0.12648396967670517,-0.08446809704999118
408,Skopai,0,0.0,0,0,2.0,1,-0.06062991126489156,0.5090394429215493,0.10795342566679482,-0.1921844499852816
409,SmartPixels,0,20000.0,0,0,2.0,1,-0.14662083174054857,0.1477728502362768,-0.13319137303612702,0.015815143385105285
410,Snips,1,1403409.0625,1,1,2.0,1,0.06563230927462298,1.311426701871053,0.32850800595992163,-0.15272419138504098
411,Soitec,0,0.0,0,0,3.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
412,Solean,0,400000.0,0,0,1.0,1,0.8714519860405828,-0.2518471256688329,-0.31032841333186495,-0.33151391933958385
413,SparingVision,0,1797071.5,0,0,1.0,1,-0.06074157763907852,-0.42783928653372194,0.687861754903045,0.09418631583087601
414,Spotlight,0,38994.8,0,0,1.0,1,-0.10316315478685588,0.9653005942694941,0.10302821606695851,-0.2321073240801117
415,Sqreen,0,222795.10447761195,1,1,3.0,1,0.22518755910658858,1.639615637984525,0.4036728477801106,0.14517674705529174
416,SquareMind,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
417,SteadySun,0,0.0,0,0,2.0,1,-0.12000467221400664,-0.12624795595885044,-0.15742768421431697,-0.13369433456969632
418,Step pharma,0,4833333.333333333,0,0,4.0,1,-0.05933758168449937,-0.4604979939740767,0.7785902907667556,0.11373874009717769
419,Stimunity,0,883333.3333333334,0,0,1.0,1,0.7854498296864968,-0.6479684556916887,1.091254484943845,0.05421062497613692
420,Strains,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
421,Sublimed,0,250000.0,0,0,2.0,1,-0.03291543670515753,-0.16408451710282182,-0.27633793492922804,0.8722984618660324
422,Volta Medical,0,153333.33333333334,0,0,2.0,1,-0.1513900093122163,-0.17486247379735748,-0.05002014353629755,-0.04412176255679382
423,SurfactGreen,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
424,Sylfen,0,0.0,0,0,2.0,1,0.8979755301095288,-0.25651867847970433,-0.30915523505919856,-0.35479615226160816
425,syndivia,0,1019696.6666666666,0,0,1.0,1,0.0598874076002631,-0.5485169824205737,1.2037518768997129,0.3149479592777281
426,Synthelis,0,122000.0,0,0,1.0,1,-0.05664262049525811,-0.39796464275363497,0.6169627098538919,0.07775232800169701
427,SYOS,0,0.0,0,0,1.0,1,-0.17396590447085222,-0.09963996465810725,-0.13578235178284798,-0.14466002419180327
428,SYOS,0,0.0,0,0,1.0,1,-0.17396590447085222,-0.09963996465810725,-0.13578235178284798,-0.14466002419180327
429,Syrlinks,0,0.0,0,0,3.0,1,-0.12509081577259692,-0.046367191943557665,-0.14956088943402726,-0.10584783717788229
430,Syrlinks,0,0.0,0,0,3.0,1,-0.12509081577259692,-0.046367191943557665,-0.14956088943402726,-0.10584783717788229
